Comment,Designator,Footprint,LCSC
"10u","C201,C306,C307","Capacitor_SMD:C_0402_1005Metric","C76991"
"22u","C202","Capacitor_SMD:C_0402_1005Metric","C907955"
"0.1u","C203,C204,C207,C208,C209,C210,C301,C302,C303,C304,C305,C401,C402,C403,C404,C405,C406,C407,C408,C409,C410,C411,C414,C416,C417,C418,C419,C420,C421,C422,C425,C426,C601,C602","Capacitor_SMD:C_0402_1005Metric","C1525"
"27p","C308,C309,C423,C424","Capacitor_SMD:C_0402_1005Metric","C1557"
"3.3u","C412","Capacitor_SMD:C_0402_1005Metric","C694161"
"4.7u","C413,C415","Capacitor_SMD:C_0402_1005Metric","C368809"
"10n","C427","Capacitor_SMD:C_0402_1005Metric","C60133"
"PMEG40","D201,D202,D205,D207,D208,D401","Diode_SMD:D_SOD-323","C36975"
"LED","D203,D204","LED_SMD:LED_0402_1005Metric","C136765"
"120R","FB201,FB203,FB204,FB403","Inductor_SMD:L_0603_1608Metric","C279682"
"600R","FB301,FB302,FB401,FB402","Inductor_SMD:L_0603_1608Metric","C1002"
"USB_C_Receptacle_USB2.0","J201,J401","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"Conn_01x06_Male","J202","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"Conn_01x04_Male","J301","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","C91552"
"Conn_01x03_Male","J302,J303","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Conn_01x02_Male","J402","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","C5116481"
"Conn_02x20_Odd_Even","J501,J502,J503,J504","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","C5224014"
"Raspberry Pi 4B","J601","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","C2977589"
"220","R201","Resistor_SMD:R_0402_1005Metric","C25091"
"5.1k","R202,R203,R414,R415","Resistor_SMD:R_0402_1005Metric","C105872"
"165","R204","Resistor_SMD:R_0402_1005Metric","C159101"
"10k","R301,R302,R401,R402,R403,R404,R407,R408,R409,R410,R411,R412,R413","Resistor_SMD:R_0402_1005Metric","C140214"
"12k","R303,R304,R405,R406","Resistor_SMD:R_0402_1005Metric","C25752"
"2.2k","R305,R416","Resistor_SMD:R_0402_1005Metric","C25879"
"8.2k","R417","Resistor_SMD:R_0402_1005Metric","C103167"
"68k","R418","Resistor_SMD:R_0402_1005Metric","C36871"
"10k","RN401,RN402,RN403,RN404,RN405,RN406,RN407,RN408","Resistor_SMD:R_Array_Convex_2x0402","C695179"
"AZ1117IH-3.3TRG1","U201","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C108495"
"FT232HQ-REEL","U301","Package_DFN_QFN:QFN-48-1EP_8x8mm_P0.5mm_EP6.2x6.2mm","C82158"
"93LC56BT-I/OT","U302,U410","Package_TO_SOT_SMD:SOT-23-6","C190271"
"MCP23017_SS","U401,U402,U403,U404,U406,U407,U408,U409","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","C558584"
"NE555DR","U411","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C7593"
"FT4232HL-REEL","U415","Package_QFP:LQFP-64_10x10mm_P0.5mm","C56742"
"12MHz","Y301,Y401","Crystal:Crystal_SMD_HC49-SD","C14871"